time,XAUUSD,EURUSD,NAS100,US30,SPX500,USDJPY
2016-03-29,1235.5999755859375,1.1202723979949951,4467.72021484375,17633.109375,2055.010009765625,113.36399841308594
2016-03-30,1226.9000244140625,1.12920343875885,4490.8798828125,17716.66015625,2063.949951171875,112.68000030517578
2016-03-31,1234.199951171875,1.1334655284881592,4483.66015625,17685.08984375,2059.739990234375,112.36599731445312
2016-04-01,1222.199951171875,1.1379671096801758,4532.080078125,17792.75,2072.780029296875,112.4800033569336
2016-04-04,1218.0,1.1390039920806885,4511.7001953125,17737.0,2066.1298828125,111.72200012207031
2016-04-05,1228.4000244140625,1.1389002799987793,4470.75,17603.3203125,2045.1700439453125,111.25
2016-04-06,1222.5,1.138200283050537,4543.77978515625,17716.05078125,2066.659912109375,110.37799835205078
2016-04-07,1236.199951171875,1.1404979228973389,4475.2900390625,17541.9609375,2041.9100341796875,109.6989974975586
2016-04-08,1242.5,1.1373976469039917,4474.93017578125,17576.9609375,2047.5999755859375,108.427001953125
2016-04-11,1256.699951171875,1.1403028964996338,4458.7099609375,17556.41015625,2041.989990234375,108.31099700927734
2016-04-12,1259.4000244140625,1.141291856765747,4496.0400390625,17721.25,2061.719970703125,107.93000030517578
2016-04-13,1246.800048828125,1.138498306274414,4554.72021484375,17908.279296875,2082.419921875,108.63999938964844
2016-04-14,1225.0,1.1279042959213257,4554.6298828125,17926.4296875,2082.780029296875,109.41999816894531
2016-04-15,1233.0999755859375,1.1270017623901367,4543.16015625,17897.4609375,2080.72998046875,109.31600189208984
2016-04-18,1233.5999755859375,1.1299946308135986,4569.31005859375,18004.16015625,2094.340087890625,108.01699829101562
2016-04-19,1253.0,1.1309019327163696,4537.08984375,18053.599609375,2100.800048828125,109.072998046875
2016-04-20,1253.199951171875,1.1359634399414062,4540.43994140625,18096.26953125,2102.39990234375,109.23999786376953
2016-04-21,1249.0,1.1305055618286133,4540.7998046875,17982.51953125,2091.47998046875,109.83799743652344
2016-04-22,1228.699951171875,1.12920343875885,4474.18994140625,18003.75,2091.580078125,109.43699645996094
2016-04-25,1238.9000244140625,1.123406171798706,4474.1298828125,17977.240234375,2087.7900390625,111.43599700927734
2016-04-26,1242.199951171875,1.1269001960754395,4452.97021484375,17990.3203125,2091.699951171875,111.13600158691406
2016-04-27,1249.199951171875,1.1299052238464355,4416.6298828125,18041.55078125,2095.14990234375,111.2300033569336
2016-04-28,1265.5,1.132900595664978,4363.990234375,17830.759765625,2075.81005859375,111.5199966430664
2016-04-29,1289.199951171875,1.135589361190796,4341.2998046875,17773.640625,2065.300048828125,108.07599639892578
2016-05-02,1294.699951171875,1.146302580833435,4381.2998046875,17891.16015625,2081.429931640625,106.4530029296875
2016-05-03,1290.699951171875,1.1524986028671265,4341.39013671875,17750.91015625,2063.3701171875,106.39600372314453
2016-05-04,1273.300048828125,1.1504037380218506,4312.009765625,17651.259765625,2051.1201171875,106.68000030517578
2016-05-05,1271.4000244140625,1.1493064165115356,4309.47998046875,17660.7109375,2050.6298828125,106.91999816894531
2016-05-06,1292.9000244140625,1.1406019926071167,4330.169921875,17740.630859375,2057.139892578125,107.2750015258789
2016-05-09,1265.5999755859375,1.1387965679168701,4341.22998046875,17705.91015625,2058.68994140625,107.36000061035156
2016-05-10,1263.9000244140625,1.1387965679168701,4402.0400390625,17928.349609375,2084.389892578125,108.33100128173828
2016-05-11,1274.5999755859375,1.1374363899230957,4361.02978515625,17711.119140625,2064.4599609375,109.19400024414062
2016-05-12,1270.300048828125,1.142700433731079,4342.81005859375,17720.5,2064.110107421875,108.41500091552734
2016-05-13,1271.9000244140625,1.1376951932907104,4326.52978515625,17535.3203125,2046.6099853515625,109.0999984741211
2016-05-16,1273.4000244140625,1.1316953897476196,4380.47998046875,17710.7109375,2066.659912109375,108.66100311279297
2016-05-17,1276.199951171875,1.1316057443618774,4322.56005859375,17529.98046875,2047.2099609375,109.08000183105469
