time,symbol,open,high,low,close,volume,source
2026-03-29T00:41:00Z,XAUUSD,2000.0,4524.3,2000.0,4524.3,610753.0,yahoo
2026-03-29T00:41:00Z,EURUSD,1.151,1.151,1.151,1.151,0.0,yahoo
2026-03-29T00:41:00Z,NAS100,23132.771,23132.771,23132.771,23132.771,3703425000.0,yahoo
2026-03-29T00:41:00Z,US30,45166.64,45166.64,45166.64,45166.64,1665272871.0,yahoo
2026-03-29T00:41:00Z,BTCUSD,50000.0,66431.95,50000.0,66412.0,2255790767.8148174,binance
2026-03-29T00:42:00Z,XAUUSD,4524.3,4524.3,4524.3,4524.3,407102.0,yahoo
2026-03-29T00:42:00Z,EURUSD,1.151,1.151,1.151,1.151,0.0,yahoo
2026-03-29T00:42:00Z,NAS100,23132.771,23132.771,23132.771,23132.771,2468950000.0,yahoo
2026-03-29T00:42:00Z,US30,45166.64,45166.64,45166.64,45166.64,1110181914.0,yahoo
2026-03-29T00:42:00Z,BTCUSD,66412.01,66412.01,66410.7,66410.7,1503823924.370207,binance
2026-03-29T00:43:00Z,XAUUSD,4524.3,4524.3,4524.3,4524.3,610653.0,yahoo
2026-03-29T00:43:00Z,EURUSD,1.151,1.151,1.151,1.151,0.0,yahoo
2026-03-29T00:43:00Z,NAS100,23132.771,23132.771,23132.771,23132.771,3703425000.0,yahoo
2026-03-29T00:43:00Z,US30,45166.64,45166.64,45166.64,45166.64,1665272871.0,yahoo
2026-03-29T00:43:00Z,BTCUSD,66418.67,66418.67,66418.66,66418.67,2255563741.474277,binance
2026-03-29T00:44:00Z,XAUUSD,4524.3,4524.3,4524.3,4524.3,407102.0,yahoo
2026-03-29T00:44:00Z,EURUSD,1.151,1.151,1.151,1.151,0.0,yahoo
2026-03-29T00:44:00Z,NAS100,23132.771,23132.771,23132.771,23132.771,2468950000.0,yahoo
2026-03-29T00:44:00Z,US30,45166.64,45166.64,45166.64,45166.64,1110181914.0,yahoo
2026-03-29T00:44:00Z,BTCUSD,66388.81,66400.82,66388.81,66400.82,1504103403.1789782,binance
2026-03-29T00:45:00Z,XAUUSD,4524.3,4524.3,4524.3,4524.3,407102.0,yahoo
2026-03-29T00:45:00Z,EURUSD,1.151,1.151,1.151,1.151,0.0,yahoo
2026-03-29T00:45:00Z,NAS100,23132.771,23132.771,23132.771,23132.771,2468950000.0,yahoo
2026-03-29T00:45:00Z,US30,45166.64,45166.64,45166.64,45166.64,1110181914.0,yahoo
2026-03-29T00:45:00Z,BTCUSD,66407.5,66407.5,66407.07,66407.07,1503346662.760644,binance
2026-03-29T00:46:00Z,XAUUSD,4524.3,4524.3,4524.3,4524.3,407102.0,yahoo
2026-03-29T00:46:00Z,EURUSD,1.151,1.151,1.151,1.151,0.0,yahoo
2026-03-29T00:46:00Z,NAS100,23132.771,23132.771,23132.771,23132.771,2468950000.0,yahoo
2026-03-29T00:46:00Z,US30,45166.64,45166.64,45166.64,45166.64,1110181914.0,yahoo
2026-03-29T00:46:00Z,BTCUSD,66405.92,66405.92,66405.92,66405.92,1503874829.1541448,binance
